Year;Month;Day;Time;Price_1
2019;2;1;1;47.07
2019;2;1;2;45.47
2019;2;1;3;43.1
2019;2;1;4;41.1
2019;2;1;5;41.51
2019;2;1;6;44.1
2019;2;1;7;45.97
2019;2;1;8;54.11
2019;2;1;9;60.75
2019;2;1;10;61.78
2019;2;1;11;60.75
2019;2;1;12;59.1
2019;2;1;13;57.99
2019;2;1;14;55.84
2019;2;1;15;49.89
2019;2;1;16;48.87
2019;2;1;17;50.0
2019;2;1;18;52.44
2019;2;1;19;58.6
2019;2;1;20;62.55
2019;2;1;21;62.99
2019;2;1;22;57.29
2019;2;1;23;54.01
2019;2;1;24;49.07
2019;2;2;1;42.87
2019;2;2;2;38.03
2019;2;2;3;30.0
2019;2;2;4;25.07
2019;2;2;5;24.72
2019;2;2;6;20.45
2019;2;2;7;24.0
2019;2;2;8;29.99
2019;2;2;9;38.03
2019;2;2;10;42.01
2019;2;2;11;44.77
2019;2;2;12;41.8
2019;2;2;13;39.9
2019;2;2;14;39.07
2019;2;2;15;36.03
2019;2;2;16;35.03
2019;2;2;17;36.03
2019;2;2;18;40.67
2019;2;2;19;49.27
2019;2;2;20;51.92
2019;2;2;21;50.43
2019;2;2;22;48.48
2019;2;2;23;48.49
2019;2;2;24;46.06
2019;2;3;1;47.1
2019;2;3;2;41.29
2019;2;3;3;40.48
2019;2;3;4;39.0
2019;2;3;5;38.9
2019;2;3;6;38.47
2019;2;3;7;39.88
2019;2;3;8;40.97
2019;2;3;9;43.8
2019;2;3;10;47.05
2019;2;3;11;49.33
2019;2;3;12;51.11
2019;2;3;13;50.35
2019;2;3;14;53.92
2019;2;3;15;50.1
2019;2;3;16;48.91
2019;2;3;17;48.43
2019;2;3;18;51.94
2019;2;3;19;59.54
2019;2;3;20;63.93
2019;2;3;21;63.54
2019;2;3;22;63.75
2019;2;3;23;59.7
2019;2;3;24;51.1
2019;2;4;1;61.1
2019;2;4;2;53.36
2019;2;4;3;50.59
2019;2;4;4;48.95
2019;2;4;5;48.36
2019;2;4;6;46.81
2019;2;4;7;49.61
2019;2;4;8;64.1
2019;2;4;9;64.59
2019;2;4;10;66.55
2019;2;4;11;66.55
2019;2;4;12;65.13
2019;2;4;13;63.93
2019;2;4;14;63.53
2019;2;4;15;62.03
2019;2;4;16;62.17
2019;2;4;17;61.2
2019;2;4;18;63.93
2019;2;4;19;69.04
2019;2;4;20;70.66
2019;2;4;21;69.58
2019;2;4;22;68.5
2019;2;4;23;66.1
2019;2;4;24;63.01
2019;2;5;1;58.3
2019;2;5;2;59.26
2019;2;5;3;53.34
2019;2;5;4;48.97
2019;2;5;5;48.92
2019;2;5;6;49.15
2019;2;5;7;59.46
2019;2;5;8;64.09
2019;2;5;9;68.07
2019;2;5;10;68.0
2019;2;5;11;65.79
2019;2;5;12;63.2
2019;2;5;13;63.66
2019;2;5;14;63.2
2019;2;5;15;63.19
2019;2;5;16;63.19
2019;2;5;17;63.19
2019;2;5;18;63.19
2019;2;5;19;65.79
2019;2;5;20;66.83
2019;2;5;21;67.5
2019;2;5;22;67.1
2019;2;5;23;63.75
2019;2;5;24;62.71
2019;2;6;1;63.25
2019;2;6;2;61.2
2019;2;6;3;55.07
2019;2;6;4;56.73
2019;2;6;5;52.73
2019;2;6;6;55.68
2019;2;6;7;59.48
2019;2;6;8;63.0
2019;2;6;9;65.64
2019;2;6;10;66.85
2019;2;6;11;66.55
2019;2;6;12;64.18
2019;2;6;13;63.1
2019;2;6;14;61.98
2019;2;6;15;57.51
2019;2;6;16;55.37
2019;2;6;17;56.73
2019;2;6;18;60.32
2019;2;6;19;63.1
2019;2;6;20;66.98
2019;2;6;21;67.52
2019;2;6;22;66.55
2019;2;6;23;63.08
2019;2;6;24;61.1
2019;2;7;1;52.91
2019;2;7;2;58.48
2019;2;7;3;49.89
2019;2;7;4;45.47
2019;2;7;5;43.97
2019;2;7;6;45.87
2019;2;7;7;50.33
2019;2;7;8;61.12
2019;2;7;9;62.27
2019;2;7;10;63.75
2019;2;7;11;64.17
2019;2;7;12;62.58
2019;2;7;13;62.27
2019;2;7;14;62.01
2019;2;7;15;61.2
2019;2;7;16;62.17
2019;2;7;17;61.2
2019;2;7;18;60.86
2019;2;7;19;64.21
2019;2;7;20;67.2
2019;2;7;21;68.07
2019;2;7;22;67.55
2019;2;7;23;65.69
2019;2;7;24;65.0
2019;2;8;1;65.0
2019;2;8;2;61.21
2019;2;8;3;54.25
2019;2;8;4;54.03
2019;2;8;5;49.14
2019;2;8;6;49.13
2019;2;8;7;53.21
2019;2;8;8;61.2
2019;2;8;9;64.0
2019;2;8;10;65.01
2019;2;8;11;64.01
2019;2;8;12;62.04
2019;2;8;13;61.1
2019;2;8;14;59.26
2019;2;8;15;58.98
2019;2;8;16;54.3
2019;2;8;17;49.97
2019;2;8;18;50.0
2019;2;8;19;54.52
2019;2;8;20;62.0
2019;2;8;21;62.41
2019;2;8;22;62.01
2019;2;8;23;61.2
2019;2;8;24;59.04
2019;2;9;1;60.02
2019;2;9;2;58.77
2019;2;9;3;51.06
2019;2;9;4;47.1
2019;2;9;5;47.1
2019;2;9;6;47.41
2019;2;9;7;50.5
2019;2;9;8;56.01
2019;2;9;9;58.77
2019;2;9;10;62.85
2019;2;9;11;64.01
2019;2;9;12;62.41
2019;2;9;13;60.81
2019;2;9;14;58.77
2019;2;9;15;53.41
2019;2;9;16;47.01
2019;2;9;17;46.1
2019;2;9;18;46.8
2019;2;9;19;52.3
2019;2;9;20;61.1
2019;2;9;21;61.83
2019;2;9;22;60.01
2019;2;9;23;55.0
2019;2;9;24;47.6
2019;2;10;1;41.72
2019;2;10;2;36.1
2019;2;10;3;30.2
2019;2;10;4;29.2
2019;2;10;5;25.3
2019;2;10;6;19.0
2019;2;10;7;16.2
2019;2;10;8;17.54
2019;2;10;9;25.3
2019;2;10;10;36.0
2019;2;10;11;39.16
2019;2;10;12;40.86
2019;2;10;13;36.89
2019;2;10;14;36.1
2019;2;10;15;35.0
2019;2;10;16;31.19
2019;2;10;17;32.61
2019;2;10;18;39.41
2019;2;10;19;49.19
2019;2;10;20;62.01
2019;2;10;21;65.51
2019;2;10;22;66.55
2019;2;10;23;65.01
2019;2;10;24;59.1
2019;2;11;1;56.67
2019;2;11;2;56.41
2019;2;11;3;53.61
2019;2;11;4;43.77
2019;2;11;5;42.4
2019;2;11;6;43.0
2019;2;11;7;49.96
2019;2;11;8;59.23
2019;2;11;9;64.03
2019;2;11;10;64.89
2019;2;11;11;65.0
2019;2;11;12;62.51
2019;2;11;13;59.64
2019;2;11;14;58.84
2019;2;11;15;56.67
2019;2;11;16;55.81
2019;2;11;17;56.41
2019;2;11;18;58.84
2019;2;11;19;63.75
2019;2;11;20;66.25
2019;2;11;21;66.25
2019;2;11;22;65.51
2019;2;11;23;60.51
2019;2;11;24;58.7
2019;2;12;1;62.65
2019;2;12;2;58.37
2019;2;12;3;53.6
2019;2;12;4;51.36
2019;2;12;5;50.0
2019;2;12;6;53.0
2019;2;12;7;59.0
2019;2;12;8;61.42
2019;2;12;9;63.89
2019;2;12;10;65.1
2019;2;12;11;64.2
2019;2;12;12;62.49
2019;2;12;13;60.64
2019;2;12;14;60.61
2019;2;12;15;59.0
2019;2;12;16;58.7
2019;2;12;17;58.52
2019;2;12;18;60.29
2019;2;12;19;63.75
2019;2;12;20;66.1
2019;2;12;21;67.1
2019;2;12;22;66.25
2019;2;12;23;64.5
2019;2;12;24;64.18
2019;2;13;1;63.93
2019;2;13;2;61.59
2019;2;13;3;59.57
2019;2;13;4;58.11
2019;2;13;5;58.32
2019;2;13;6;60.0
2019;2;13;7;61.0
2019;2;13;8;64.13
2019;2;13;9;65.31
2019;2;13;10;65.51
2019;2;13;11;65.06
2019;2;13;12;63.58
2019;2;13;13;61.63
2019;2;13;14;60.02
2019;2;13;15;59.51
2019;2;13;16;59.2
2019;2;13;17;59.1
2019;2;13;18;59.2
2019;2;13;19;61.52
2019;2;13;20;64.2
2019;2;13;21;65.21
2019;2;13;22;64.2
2019;2;13;23;61.63
2019;2;13;24;58.0
2019;2;14;1;60.61
2019;2;14;2;53.81
2019;2;14;3;50.01
2019;2;14;4;49.5
2019;2;14;5;48.0
2019;2;14;6;49.11
2019;2;14;7;55.27
2019;2;14;8;60.73
2019;2;14;9;63.67
2019;2;14;10;62.07
2019;2;14;11;60.01
2019;2;14;12;56.27
2019;2;14;13;54.67
2019;2;14;14;53.81
